Country Code,Country Name,Year,Trade (% of GDP)
BRA,Brazil,1960,12.61547153
BRA,Brazil,1961,12.89339678
BRA,Brazil,1962,9.384850143
BRA,Brazil,1963,17.93998442
BRA,Brazil,1964,12.20580536
BRA,Brazil,1965,12.8920351
BRA,Brazil,1966,12.26329411
BRA,Brazil,1967,11.35438435
BRA,Brazil,1968,12.59062636
BRA,Brazil,1969,13.27592469
BRA,Brazil,1970,14.47917337
BRA,Brazil,1971,14.65091698
BRA,Brazil,1972,16.13195262
BRA,Brazil,1973,16.85618914
BRA,Brazil,1974,20.96777807
BRA,Brazil,1975,18.23433037
BRA,Brazil,1976,16.41554798
BRA,Brazil,1977,15.15524941
BRA,Brazil,1978,14.5778876
BRA,Brazil,1979,16.56688261
BRA,Brazil,1980,20.15540749
BRA,Brazil,1981,19.63292399
BRA,Brazil,1982,16.49117037
BRA,Brazil,1983,21.90035252
BRA,Brazil,1984,23.83007467
BRA,Brazil,1985,20.44976658
BRA,Brazil,1986,15.86065415
BRA,Brazil,1987,16.26239734
BRA,Brazil,1988,17.76724471
BRA,Brazil,1989,14.39087765
BRA,Brazil,1990,15.15560302
BRA,Brazil,1991,16.59207796
BRA,Brazil,1992,19.25337576
BRA,Brazil,1993,19.59932057
BRA,Brazil,1994,18.6747598
BRA,Brazil,1995,16.98446
BRA,Brazil,1996,15.63559148
BRA,Brazil,1997,16.57620926
BRA,Brazil,1998,16.43858493
BRA,Brazil,1999,20.98216647
BRA,Brazil,2000,22.63976136
BRA,Brazil,2001,26.93628502
BRA,Brazil,2002,27.61835741
BRA,Brazil,2003,28.14038472
BRA,Brazil,2004,29.67825248
BRA,Brazil,2005,27.08679521
BRA,Brazil,2006,26.04169988
BRA,Brazil,2007,25.29261137
BRA,Brazil,2008,27.25756942
BRA,Brazil,2009,22.1059756
BRA,Brazil,2010,22.77217811
BRA,Brazil,2011,23.93440518
BRA,Brazil,2012,25.11427361
BRA,Brazil,2013,25.78595733
BRA,Brazil,2014,24.68540582
BRA,Brazil,2015,26.95362594
BRA,Brazil,2016,24.53368208
BRA,Brazil,2017,24.31973437
BRA,Brazil,2018,28.87620337
BRA,Brazil,2019,28.89025787
BRA,Brazil,2020,32.8904521
BRA,Brazil,2021,39.17612215
RUS,Russian Federation,1989,42.91448517
RUS,Russian Federation,1990,36.10679913
RUS,Russian Federation,1991,26.25670361
RUS,Russian Federation,1992,110.5770647
RUS,Russian Federation,1993,68.69844324
RUS,Russian Federation,1994,50.95371265
RUS,Russian Federation,1995,55.18290547
RUS,Russian Federation,1996,47.92250082
RUS,Russian Federation,1997,47.25692141
RUS,Russian Federation,1998,55.77225328
RUS,Russian Federation,1999,69.3932815
RUS,Russian Federation,2000,68.09390704
RUS,Russian Federation,2001,61.11085866
RUS,Russian Federation,2002,59.64544573
RUS,Russian Federation,2003,59.12826901
RUS,Russian Federation,2004,56.5818524
RUS,Russian Federation,2005,56.71324849
RUS,Russian Federation,2006,54.73340187
RUS,Russian Federation,2007,51.70612275
RUS,Russian Federation,2008,53.38246604
RUS,Russian Federation,2009,48.43506103
RUS,Russian Federation,2010,50.35550549
RUS,Russian Federation,2011,48.03539941
RUS,Russian Federation,2012,47.15139039
RUS,Russian Federation,2013,46.2871494
RUS,Russian Federation,2014,47.80134126
RUS,Russian Federation,2015,49.35934931
RUS,Russian Federation,2016,46.51811984
RUS,Russian Federation,2017,46.87652434
RUS,Russian Federation,2018,51.58090037
RUS,Russian Federation,2019,49.22875366
RUS,Russian Federation,2020,45.96194578
RUS,Russian Federation,2021,52.13253076
